,0,1,2,3
17846,,0,Thu Feb 27 02:48:16 +0000 2020,"I'M IN PASO ROBLES HIDING OUT IN A MOBILE HOME PARK!! IM TIRED OF BEING A VICTIM BECAUSE YOU WANT ME TO BE SUPER ATTRACTIVE AS A PERSON IN DINANCE. I'VE BEEN BEATEN UP, RAPED, AND TORTURED!! PLEASE STOP THE ABUSE!! PLEASE RESPECT MY DECISION TO REMAIN AT PEACE!! #abcnews #npr"
17857,,0,Wed Feb 26 19:15:20 +0000 2020,I DATED A COUPLE OF ETHNIC PEOPLE AND ANOTHER BLACK MAN!!! #NBC #Trump2020 #CBC #dateline  #ABC #NPR #Trump #Obama
17858,,0,Wed Feb 26 19:10:23 +0000 2020,LESLEY MEDINA; DIXON; AND THE VENTURA POLICE DEPARTMENT KILLED MY BABY BY POISONING ME!!  #Bloomberg #Trump2020  #Trump  #NPR
17866,,0,Wed Feb 26 17:32:17 +0000 2020,SORRY I GAINED 58LBS SINCE BEING IN AND OUT OF TRAUMA; HOSPITALIZED; AND FOR HAVING PNUEMONIA!! YOU SHOULDNT FOLLOW A RAPE VICTIM DUE TO YOUR OWN LOW SELF ESTEEM!! #HillaryClinton #EmmaWatson #KimKardashian #Trump #cbs #Trump2020 #NPR
17867,,0,Wed Feb 26 17:04:42 +0000 2020,I'M A RAPE VICTIM AND HOSTAGE SURVIVOR; ARE YOU JEALOUS OR SOMETHING!! DO YOU HAVE A PROBLEM WITH YOURSELF?? WEAK WOMEN GO AFTER ATRONGER FEMALES!! #AngelinaJolie #EmmaWatson #KimKardashian #cbs #npr
17868,,0,Wed Feb 26 16:56:18 +0000 2020,GLAD YOU THREE ARE SO  INTERESTED..BY THE WAY I MOVED TO DENVER IN DECEMBER I WAS FIRST ASSAULTED THE FOLLOWING YEAR IN APRIL. STUPID SLUTS. THERES PROOF; AND THERE IS POTENTIALLY  ANOTHER RAPE VICTIM!!!:) #ABC #MSNBC #NPR
17892,,0,Wed Feb 26 09:16:20 +0000 2020,RAVER? I HAVE A LOVE SO COMPASSIONATE FOR SYMPHONY! A FANTASTIC LOVE FOR PEOPLE; CULTURE; SOCIETY; AND INTERPERSONAL RELATIONSHIONSHIPS!! I'M AM COMPLETELY BEAUTIFUL INSUDE AND OUT!! I AM NOT JUST A HUMANITARIAN BUT AN ECONOMIST!! #NPR #CBSNews #cbs
17893,,0,Wed Feb 26 08:56:26 +0000 2020,WE HAVE TO LOOK AT THE FUTURE OF OUR NATURAL RESOURCES AND UNDERSTAND ITS TIME TO REINVEST IN AMERICA! INDIVIDUALLY AND AS A PUBLIC!!  WE GIVE; BUT NOW IT'S TIME TO GIVE BACK TO AMERICA!!! #NPR #cbs #ABC
17898,,0,Wed Feb 26 07:41:25 +0000 2020,"SLOW RIDER I DON'T THINK SOOO!! WE NEED A FERRARI!!! I ""MANUALLY"" GOT THIS DOWN! LITERALLY AND FIGURATIVELY!! WE ARE DONE WITH THIS DEBT TRAP! PLEASE VOTE FOR ME!!  #CBS #NPR #BlackLivesMatter"
17899,,0,Wed Feb 26 06:45:05 +0000 2020,DIXON AND LESLEY KIDNAPPED ME WHILE TRYING TO TURN IN AECOM FOR FRAUD!!   #NPR
17900,,0,Wed Feb 26 06:37:59 +0000 2020,PLEASE ASK ME ABOUT MY JOURNEY; ALMOST GOING BANKRUPT INORDER TO FILE TWO SEC CLAIMS; ONE INVOLVING KIDNAPPING!! TURNING IN MY EX FIANCE FOR MY KIDNAPPING AND MURDER!! I GRADUATED WITH HONORS EVEN IN MY MASTERS PROGRAM!! PLEASE READ SOME OF MY STORY ON TWITTER; IT'S HUGE!! #NPR
17906,,0,Wed Feb 26 05:33:21 +0000 2020,MY IDEAS RANGE FROM REAL ESTATE PROPERTY CAPS/ PURCHASING POWER; WELFARE; SOCIAL SECURITY; HUMAN RESOURCES; EDUCATION; AND SO FORTH!! #NPR #CBSNews #CBS #dateline
17907,,0,Wed Feb 26 05:04:14 +0000 2020,"BYE ANGELINA JOLIE AND KIM KARDASHION FOR BEING PSYCHOPATHS AGAINST AN ALPHA NEW WAVE FEMINIST!! PER THE FBI THEY HAVE TRIED TAKING ME OUT. SO HAS MY AUNT LAUREEN A.K.A. ""LOLLY"", the CEO OF AMERICAN EXPRESS!!!  #CBSNews #cbs #EmmaWatson #NPR"
17908,,0,Wed Feb 26 04:49:23 +0000 2020,"DIXON IS SO GUILTY SO IS BILLY HUTTON; A POLICE OFFICER!! DIXON CARVED A BUNCH OF STALKER/ MURDEROR ITEMS ONTO THE CEILING, AFTER CLORAFORMING ME!!  HE  AND LESLEY SPRAY MY BELONGINGs AND PUT A BROWN RECLOUSE ON ME!  #Trump2020 #cbs #NPR #Obama"
17911,,0,Wed Feb 26 04:28:25 +0000 2020,CHRIS MEYERS IS GUILTY!! SO IS RUBY DICHERICO AND MIKO SHIMA!! TESE WERE FRIENDS OF MINE IN HIGH SCHOOL!! THEY WERE RIDICULOUSLY STUPID THEY WORKED WITH VENTURA POLICE DEPARTMENT TRYING TO COVERUP MY KIDNAPPING!  #CBS #FBI #NPR #MSNBC
17917,,0,Wed Feb 26 03:37:55 +0000 2020,JESSE SHIM WAS A RAPIST AND A PSYCHOPATH. HE TIED ME UP AFTER HE POSED JENNIFER AS A RAPE VICTIM! HE TOOK THE PHNe OFF THE WALL! CHASED ME WITH A CHAINSAW!! THEN BUTCHERED PEOPLE! I CAN BARELY BREATH WRITING THIS!!!  #Christianity #Methodist #StocksToTrade #NPR
18554,à¤­à¤¾à¤°à¤¤,0,Fri Feb 21 17:49:26 +0000 2020,"I and other people of the country who wants to know how many illegal immigrants are living in the country deserve to know that.  We aren't anti-immigrant, we just want ""legal immigrant system"" to know stats of immigrants and make future planning according to it. #NPR #NCR"
19523,"Lucknow Canttonment Zone, Luck",1,Mon Mar 02 13:33:57 +0000 2020,RT @GlobalHindu2020: @ImranKhanPTI There are many people whose ancestors voted for the Muslim League and supported the creation of Pakistanâ€¦
19524,"Hyderabad, India",0,Mon Mar 02 13:30:02 +0000 2020,"@AraibKarim @TulsiGabbard The ignorance, hate and lies  are in your head, ""Syed"".  The #CAA law was passed by both houses of the Indian Parliament and only gives citizenship to persecuted minorities from neighbouring Islamist states."
19525,Global,1,Mon Mar 02 13:27:18 +0000 2020,@ImranKhanPTI There are many people whose ancestors voted for the Muslim League and supported the creation of Pakistan are still living in India.  They treat India as their enemy country despite physically living India.  Pass a law like #CAA accept all of
19527,"Bengaluru, India",0,Mon Mar 02 13:24:03 +0000 2020,"I don't like Twitter but I'm here now. After the last 6 months with the #CAA and now the communal state-sponsored violence in #Delhi this last week, not using my voice on every single medium I have access to is a flagrant abuse of privilege. And I have to say: #AmitShahResign"
19528,,1,Mon Mar 02 13:12:06 +0000 2020,"RT @Ranjith05333645: These idiots can fire for Da reason of CAA,GOD etc.y can't dey fire for Da reason of humanity?  y can't da people, polâ€¦"
19529,"Mangalore, India",1,Mon Mar 02 13:11:59 +0000 2020,"These idiots can fire for Da reason of CAA,GOD etc.y can't dey fire for Da reason of humanity?  y can't da people, politicians,bhakts, students union who are fighting for #CAA and  #ANTI_CAA fight for justice Is dis we call unity #nirbhayaconvicts #NirbhayaCase #nirbhayabetrayed"
19532,Gorakhpur,0,Mon Mar 02 13:06:30 +0000 2020,Muslims know very well that CAA doesnt harm them at all. They are a very argumentative community and understand politics 100 times better than a common Hindu. Stop wasting your time convincing them. They are working on an Islamic project and wont listen to you. #CAA  #DelhiBurns
19534,India,0,Mon Mar 02 13:03:03 +0000 2020,"The #DelhiRiots eliminate the citizenship claims of all those whose homes (and Voter IDs, Aadhaars, electricity meters + bills, other personal affects that can prove citizenship under the #CAA) have been burnt down.  Still think it's fair play?  #CAA_NRC_Protests"
19541,kaliyug,0,Mon Mar 02 12:50:08 +0000 2020,"@CNNnews18 See the intensity and unrest created by one single #minority, showing it muscle #DelhiBurning #DelhiRiot2020 #CAA imagine what will happen if the same situation happens after 10years with more of them...#HinduGenocide @Swamy39"
19543,United States,0,Mon Mar 02 12:47:08 +0000 2020,@aajtak @sardanarohit Please why no media channels arr showing true meaning of #CAA and confirm that #nrc not passed NPR is regular process Screen all madrsa Imam mosque who are creating confusion
19545,à¤­à¤¾à¤°à¤¤,2,Mon Mar 02 12:27:58 +0000 2020,"Just rename #CAA, to MAA - Muslim Amendment Act. Anyway nobody reads the fine print.  And had they been so educated they wouldn't have protested in the first place."
19547,"Chennai, India",0,Mon Mar 02 12:26:41 +0000 2020,"@fayedsouza For ignorant people like you, the purpose of #CAA was and is not for our citizens, but to take in as citizens prosecuted minorities from neighbouring countries. Even though you are ignorant of this basic fact, you are going about spreading fal"
19548,Mumbai,0,Mon Mar 02 12:23:16 +0000 2020,"#BJP-ruled local body passes resolution against #CAA, #NRC  The BJP-ruled #Selu municipal council in Parbhani district of #Maharashtra has unanimously passed a resolution against the implementation of the Citizenship Amendment Act (CAA) and the National Register of Citizens (NRC)"
19549,,0,Mon Mar 02 12:16:59 +0000 2020,"@nikita1712 @ashwaqM What has #CAA got to do with Indian Muslims? Pls explain  And please tell us, who wants to ""bleed India with a thousand cuts"" &amp; why? Is this also because of religion?  Should Indians not stand up against those who want ""Bharat ter"
19551,Ranchi ,0,Mon Mar 02 12:10:16 +0000 2020,"@2000Amrit Not only the Himalaya, but also the ""Cipla "" both are the under honourship of Muslim's. So we would like to bycott both the company at the earliest. Bocz they're earning 85% money from the Hindus  bocz they've oppressed the #CAA and #NRC."
19554,,2,Mon Mar 02 11:55:40 +0000 2020,@PChidambaram_IN #CAA law does not affect any one. It is law that benefits a class of refugees already living in India who satisfy certain criteria  It is such a simple law and you could not even understand it  With this level of intelligence how did you 
19555,"Varanasi, India",0,Mon Mar 02 11:53:41 +0000 2020,@MonaAlamm @hinaparvezbutt It's totally misleading and untrue information about #CAA
19558,New Delhi,0,Mon Mar 02 11:46:17 +0000 2020,@VishalDadlani @ArvindKejriwal You should also be ashamed of the way they handed over Delhi to Islamic Terrorists to burn and to kill innocent Hindus by Anti-Hindu riots. And as a Hindu you should be ashamed of Delhi government till last breath. #AAPBurni
19559,,0,Mon Mar 02 11:37:02 +0000 2020,"@shantanunandan2 @AdityaRajKaul @FareedZakaria @CNN Muslims in our country   feel terribly let down. #CAA &amp; #DelhiRiots. Though in a riot situation, no one is spared. The law and Order Machinery should have been #PromptinAction and taken control of d "
19561,,1,Mon Mar 02 11:31:10 +0000 2020,"RT @ashishrajput6: @nirmals09 @BloombergQuint @Bloomberg @BloombergTV I wonder why foreign media has prioritized demonizing the #CAA , #Indâ€¦"
19562,Islamabad,0,Mon Mar 02 11:20:20 +0000 2020,"@HappyMansoor True... #Coronavirus might turn out to be a fresh excuse for fascist practices of brutal and racist regimes. #India might use it as an excuse against #Delhi #CAA protestors, #Iran is shaking already, #EU might shut borders and refuse migrant"
19565,"Powai, Mumbai",1,Mon Mar 02 11:08:47 +0000 2020,RT @dranujoshi1: @fayedsouza #CAA does NOT apply to Indian citizens. It merely fast-tracks citizenship for refugees from neighbouring Islamâ€¦
19566,India,2,Mon Mar 02 11:07:48 +0000 2020,@Tamil1947 @bhatnagarasim @DesiLiberal_ @IM_Devang @rsprasad @rahulkanwal @anjanaomkashyap @alok_ajay @soniandtv @Uppolice @arustweeting @ShahnawazBJP @IndiaToday @ndtv @PrannoyRoyNDTV @CNNnews18 @Zakka_Jacob @gsurya @UrbanXpat @sagarikaghose @ShatruganSi
19567,"OsnabrÃ¼ck, Germany",0,Mon Mar 02 11:07:18 +0000 2020,"@PChidambaram_IN It's students like you who actually bring disrepute to the Harvard University   I always thought @Swamy39 exaggerated but you proved me wrong ðŸ˜‚  Just for your hareðŸ§    The #CAA is for the ""MINORITIES FROM PAKISTAN, AFGHANISTAN AND BA"
19569,"Jaipur, à¤­à¤¾à¤°à¤¤ ðŸ‡®ðŸ‡³",0,Mon Mar 02 10:59:39 +0000 2020,"Why #BJP need to create riots and violence between community when PM was busy with Trump and was trying hard to make IndoUS relationship better and stronger, it's always @INCIndia who started filling mind of people with hate in name of #CAA, they always do this, divide and 1/2"
19570,"New Delhi, India",0,Mon Mar 02 10:52:05 +0000 2020,@nanditathhakur @republic @AmitShah we regret to inform most of the handle FB  Twitter and Mob no pertains to cong and its allies who are prosecuted lot. With #CAA in force we can take action against Hindu and esp those who dared to make dead Hindus alive
19572,"Hyderabad, India ðŸ‡®ðŸ‡³",0,Mon Mar 02 10:48:28 +0000 2020,"@fayedsouza I'm against #CAA and #Violence.  Infact, there is no relation between both because #DelhiViolence erupted by people with bad intentions.  We may get into clashes whenever a bill is passed. But that should not be reason to dissolve the act, ins"
19573,"Dehradun, India",0,Mon Mar 02 10:47:37 +0000 2020,"We have lost some wonderful writers, actors, musicians, comedians, painters and politicians to activism. #MondayMotivation #mondaythoughts #MondayMorning #CAA #CAA_NRCProtests #lifelovekumbh"
19575,Mumbai,0,Mon Mar 02 10:34:52 +0000 2020,"Ajit Pawar, @AjitPawarSpeaks : you spoke your conscience on #CAA, well done. Now do the same on #UrbanNaxals #bhimakoregaon, and take action on #tukdetukdegang in Mumbai. @AnilDeshmukhNCP @OfficeofUT @uddhavthackeray"
19576,K. C. Palli ,0,Mon Mar 02 10:33:43 +0000 2020,"Guntur, #YSRCP MLA, Musthafa gave an ultimatum to the party, it should pass a resolution against the #CAA and NRC in the ensuing Assembly Sessions or he will resign from Assembly. Let's see if the CM yields to his demand or show his self-respect. #Musthafa is a radical Islamist."
19578,"Bengaluru, India",0,Mon Mar 02 10:31:44 +0000 2020,@sardesairajdeep @AmitShah When the actual culprits like you and the @INCIndia never regretted for the loss of lives in Delhi. Itâ€™s all because of your false propaganda against #CAA .. Hope one day you and your Brigade apologise for your grave mistake @
19581,Hyderabad,4,Mon Mar 02 10:29:59 +0000 2020,"With respect to #CAA, India is divided. And, we cant even agree on what our country means to us. From how I see it, it is a huge communication crisis from the Govt's side and opportunity for those interested in political communication future. #JustSaying"
19583,"Pune, India",0,Mon Mar 02 10:17:36 +0000 2020,at present sharad pawar most dangerous person for Hindus. He is constantly targeting hindu faiths and repeatedly run fake propaganda on #CAA .@narendramodi beware of him. He is even more dangerous then ovesi.
19586,"Bihar, India",0,Mon Mar 02 10:10:30 +0000 2020,#à¤‡à¤¸à¥à¤¤à¥€à¤«à¤¾_à¤¦à¥‹_AmitShah @AmitShah you are doing very well that's why people against you but we are all with you and with your decision we support #CAA and #NRC
19591,House of Happiness,1,Mon Mar 02 09:32:22 +0000 2020,RT @MareTriste: It's positively surprising to watch the increasing Indian support towards #Greece. This happens due to the same experienceâ€¦
19593,"Purulion, JNU 'ite nw B,lorean",0,Mon Mar 02 09:28:23 +0000 2020,"@htTweets #CAA or #NRC, if #Modi govt has no plans to send the #Bengali #Refugees and #Infiltrators back to #Bangladesh, biggest sufferer will be West Bengal and the indigenous #Bengalis and #Tribals of #India."
19594,â˜¦ Around Paradise ,1,Mon Mar 02 09:26:02 +0000 2020,It's positively surprising to watch the increasing Indian support towards #Greece. This happens due to the same experience India is facing these days due to #CAA and Delhi riots. This kind of invasion isn't only Greek. #GreeceUnderAttack  #IStandWithGreece #CAASUPPORT ðŸ‡¬ðŸ‡·ðŸ‡®ðŸ‡³
19596,"Purulion, JNU 'ite nw B,lorean",0,Mon Mar 02 09:24:40 +0000 2020,"@ani_digital @ANI #CAA or #NRC, if #Modi govt has no plans to send the #Bengali #Refugees and #Infiltrators back to #Bangladesh, biggest sufferer will be West Bengal and the indigenous #Bengalis of #India."
19597,,0,Mon Mar 02 09:10:19 +0000 2020,#Hindus are working very hard to serve #Pakistani #Bangladesh #Afganistan under #CAA by fighting #Muslims in #india and #DelhiViolence #DelhiRiot2020 is fighting example   #Islamic
19599,,0,Mon Mar 02 09:09:06 +0000 2020,"@Baronvonblue @ZSHASHZ @elonmusk Mobbing againt the #CAA and #NRC protesters, 40+ dead. religious places vandalized. BJP gang trying to paint it otherwise through media and all."
19601,,0,Mon Mar 02 09:06:12 +0000 2020,"@KapilSibal Dear sir, Article 6 and 7 of our constitution deals with citizenship of migrants. It shows no sign of communalism though the persecution of minorities was at peak that time.. Can 'no communalism in citizenship' comes under basic structure doct"
19602,,0,Mon Mar 02 09:05:46 +0000 2020,"@thetribunechd why did the paper always write controversial for #CAA did the paper finds any such controversy in it or for do it only for vested interest and incite emotions of people, ma'am @anshumalini3 please reply why such confusion is created"
19603,"Tampa, FL",0,Mon Mar 02 09:01:18 +0000 2020,@Baronvonblue @ZSHASHZ @elonmusk Some ppl do not like an act recently passed by govt to grant citizenship to the neighboring countyâ€™s religious minorities who took refuge in India prior to 2014. Mobbing was the result of clash between pro and anti citiz
19604,"Bombay, India",0,Mon Mar 02 09:00:47 +0000 2020,you've turned people who often barely have two square meals to eat into systemic oppressors and ossified one singular group as the eternal victim. #Assam #CAA
19606,Bangalore,0,Mon Mar 02 08:46:31 +0000 2020,@harishwings @vinitjha88 @so_radhikal Laying bare the fact that #CAA was introduced only to correct the debacle of the Assam NRC AND to deny legality to ONLY Muslims Proving we are no where close to an equal opportunity country
19607,"Purulion, JNU 'ite nw B,lorean",0,Mon Mar 02 08:42:54 +0000 2020,"@ANI If #Modi is so close to #Bangladesh, why is he not making a deal to resettle all #Bangladeshi #refugees (irrespective of #religion) who crossed the border to #India post #1971. #Bangladesh has a pro-India govt and home to 1 crore+ #Hindus. Why #CAA f"
19608,Canada,0,Mon Mar 02 08:36:42 +0000 2020,"Official media just won't speak of the hair-raising violence in New Delhi by the Hindus.Â  MSM says critics see India's Citizen Act as ""bias."" What about the rest of the world?Â  #CAA is bedizened with inequity, intolerance and bigotry.Â  ""Bias"" is an euphemism.Â  It's plain vicious."
19610,"San Francisco, CA",2,Mon Mar 02 08:34:48 +0000 2020,Not know how many lost their citizenship but for sure so many lost their lives ðŸ˜”  Fake liberals and sick-u-liars: Blood on your hands and you guys should never be forgiven for your propaganda ðŸ˜¡ðŸ˜¡ðŸ˜¡  #CAA #IAmIndianISupportCAA #PatrioticIndiansSupportCAA #WeSupportCAA
19611,,0,Mon Mar 02 08:32:51 +0000 2020,"@ImranKhanPTI @kashorMazloom 1 Has India rights to decide own laws? 2 #CAA is not against Citizens of India. 3 If protesters spread violence and abuse destroy property kill people, should police keep quiet? 4 India, a Majority Hindu nation , it is wrong v"
19614,,0,Mon Mar 02 08:26:33 +0000 2020,"@dmathur22 @NARAYANRAO12 @propagandead @whitecrescent @Chinmay_2001 @aksh0299 @Powerpu33039372 @rahulpandita 2. Countrywide FULL #NRC itself is ABSURD &amp; A DILEMMA. Now with #CAA, #NRC becomes selective &amp; targeted, and is even more absurd. You symp"
19615,,0,Mon Mar 02 08:26:32 +0000 2020,"One More Dream Shattered of Liberals, Really They're Having a Bad Time. Ram Mandir Verdict In Favor Of Temple, 370 Scrapped, #CAA Passed, #NRC On floor,  And Now Even The Supreme Court Refuses To Refer The Petition Against The Abrogation Of 370 To a Larger Bench. ðŸ’¥ #Article370"
19618,,0,Mon Mar 02 08:23:03 +0000 2020,@PChidambaram_IN Go and learn the #CAA from Shri Rajnikant of your state.
19627,,0,Mon Mar 02 08:02:41 +0000 2020,@AmitShah @narendramodi @myogiadityanath @rajnathsingh In sequence of opposing #CAA and #NRC thy are propogating their anti natnal agenda. Kindly ask nationalist people to mark them for suppressing their financial power so they couldn't inhance and financ
19633,,13,Mon Mar 02 07:58:58 +0000 2020,If an Anti #CAA protest is allowed and is the right of Citizen why not pro #CAA
19635,"Delhi,India",0,Mon Mar 02 07:56:46 +0000 2020,The act of balancing and so called positive criticism by fancy supporters are nothing but an attempt to promote BJP.   On which issue you want to criticise cong in positive way  #Article370 #CAA #Demonetization  Party took principled stand on all these issues. So why you poke?
19637,"Mumbai, India",0,Mon Mar 02 07:50:43 +0000 2020,Just rewatched #koffeewithkaran season 1 when #RichardGere made an appearance because he was fighting for various causes around the globe. @karanjohar and the rest of #Bollywood should probably watch that episode and take some inspiration. #DelhiViolence #CAA #IndiaAboveHate
19649,Bangalore,0,Mon Mar 02 07:43:52 +0000 2020,"@vinitjha88 A misunderstanding that is likely to occur several times But thanks to the #CAA Muslims are likely to be suffer more A official can choose to ignore mistakes when others are being scrutinized and not Muslims Have to accept it no choice, but I "
19650,"New Delhi, India",0,Mon Mar 02 07:42:44 +0000 2020,@pbhushan1 Delhi High court and Supreme Court is responsible for the #DelhiRiots2020 since they allowed an illegal so called protest by Muslims at #saheenbagh against #CAA which doesn't take citizenship of anyone
19661,"Bhubaneshwar, India",0,Mon Mar 02 07:35:35 +0000 2020,@PritishNandy Why? #Political_Islam Anti-CAA #Islamist protesters of India know well that #CAA has nothing to do with them and fighting for the citizenship of Muslim refugees from neighbouring #countries. The attack is being made behind the faÃ§ade of Dem
19662,"New Delhi, India",0,Mon Mar 02 07:27:11 +0000 2020,"They will support anti #CAA rally  They will not tolerate pro #CAA rally and restrict it by violence . . .  Yes, #democracy is in danger, and you are the danger @ReallySwara @BDUTT @asadowaisi @warispathan @sardesairajdeep   #CAA_NRC_Protests  #IsupportCAA  #DelhiRiots2020"
19665,India,0,Mon Mar 02 07:22:16 +0000 2020,"@Javedakhtarjadu Communists have no religion, they are making the Muslims of India insecure by peddling lies about #CAA and #NRC are causing divide. Indian Muslims are not this destructive."
19667,,0,Mon Mar 02 07:19:04 +0000 2020,"@fayedsouza After the riots and loss of life and the damage to public and personal property, can someone please explain why we need to protest #CAA as a country?   What purpose does it serve to our citizens and what price are we willing to pay for it?noth"
19669,"Maharashtra, India",0,Mon Mar 02 07:15:01 +0000 2020,"à®šà®¿à®à®., à®ªà®Ÿà¯à®Ÿà®¿à®¯à®²à®¿à®²à¯ à®®à¯à®¸à¯à®²à®¿à®®à¯à®•à®³à¯ˆ à®¨à¯€à®•à¯à®•à®¿à®¯à®¤à¯ à®à®©à¯?: à®šà®¿à®¤à®®à¯à®ªà®°à®®à¯ à®•à¯‡à®³à¯à®µà®¿ #CAA - Pak, Afghan n Bangladesh are Islamic States and Muslims not coming under minority even Ahmadiyyas are also not in minorities category. How come @PChidambaram_IN not knowing this? @Swamy39"
19684,"Tohana, Haryana",0,Mon Mar 02 06:47:05 +0000 2020,"@kunalkamra88 You and your Jehadi friends planned #DelhiRiot2020 on Donald Trump's visit to India but he had not spoken a word about #CAA, so I can understand your irritation."
19685,"New Delhi, India",0,Mon Mar 02 06:46:13 +0000 2020,"Surprising that media are now saying #DelhiRiot2020 were planned. Surely, that was obvious from the start? If #BJP thought its enemies - inside and outside - would not take advantage of #CAA it must be either extremely naive or extremely calculating."
19686,,0,Mon Mar 02 06:43:15 +0000 2020,@JayasreeVijayan @ShashiTharoor Modi ji make sure that Amit shah should not resign and #CAA should get implemented ASAP in India. Jai Hind ðŸ‡®ðŸ‡³
19687,"Kozhikode, India",0,Mon Mar 02 06:43:03 +0000 2020,"Be on the right side of history. The only solution for communalism and bigotry is intellectual revolution. Hopefully, change is the only constant.  #Delhi violence  #CAA protest  #Judicial injustice"
19690,,0,Mon Mar 02 06:41:11 +0000 2020,"@MsEntropy Youâ€™re welcome, and thank you for writing. Situating #caa in global and historical contexts is really helpful."
